Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,2129949.30,128608.81,166698.00,1172,0,1073,0,1854,0,110,0,8,0.6096660597632707,1032
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,1325537.70,49231.70,21700.00,597,0,446,0,1118,0,189,0,14,0.9293476562426448,2184
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,176113.50,1100.57,1420.00,33,0,18,0,111,0,16,0,2,0.8822224209057136,144
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,107248.93,230387.33,250686.00,132,0,72,0,266,0,47,0,1,0.9837078578366717,732
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,417864.22,0.00,85800.00,0,0,0,0,0,0,0,0,5,0.0,612
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,9923.65,9238.73,31689.00,21,0,3,0,16,0,32,0,1,0.8333333333333334,72
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,615750.89,190027.35,46446.36,271,0,207,0,533,0,33,0,6,0.7994886558340037,276
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,335642.63,168920.31,64445.52,358,0,181,0,568,0,46,0,6,0.8413370317436155,408
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,996931.73,175845.05,112621.52,207,0,102,0,523,0,37,0,7,0.9158449420214541,432
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,3248680.64,0.00,0,1187,0,634,0,2718,0,390,11,0.9472873634987232,5484
